id,user_id,exercise_id,sets,reps,weight,date
1,1,1,3,20,5.0,2016-11-24
2,1,2,3,20,5.0,2016-11-24
3,1,3,3,20,5.0,2016-11-24
4,1,6,3,20,40.0,2016-11-24
5,1,7,3,15,33.0,2016-11-24
6,1,52,3,15,7.5,2016-11-24
7,1,1,3,20,5.0,2016-11-26
8,1,2,3,20,5.0,2016-11-26
9,1,3,3,20,5.0,2016-11-26
10,1,6,3,20,40.0,2016-11-26
11,1,9,3,10,15.0,2016-11-26
12,1,7,3,15,33.0,2016-11-26
13,1,52,3,15,10.0,2016-11-26
14,1,1,2,20,7.5,2016-11-28
15,1,1,1,20,5.0,2016-11-28
16,1,4,2,12,7.5,2016-11-28
17,1,5,3,10,2.5,2016-11-28
18,1,6,3,20,40.0,2016-11-28
19,1,9,3,10,17.5,2016-11-28
20,1,7,3,15,33.0,2016-11-28
21,1,52,3,15,12.5,2016-11-28
22,1,6,3,20,40.0,2016-12-01
23,1,11,3,20,15.0,2016-12-01
24,1,1,3,20,7.5,2016-12-01
25,1,9,3,15,17.5,2016-12-01
26,1,4,3,15,5.0,2016-12-01
27,1,5,3,15,2.0,2016-12-01
28,1,10,3,20,15.0,2016-12-01
29,1,52,1,15,10.0,2016-12-01
30,1,52,1,12,12.5,2016-12-01
31,1,52,1,10,15.0,2016-12-01
32,1,7,1,15,27.5,2016-12-01
33,1,7,1,12,33.0,2016-12-01
34,1,7,1,10,38.5,2016-12-01
35,1,6,3,20,50.0,2016-12-04
36,1,10,3,20,30.0,2016-12-04
37,1,1,3,20,12.5,2016-12-04
38,1,11,2,20,15.0,2016-12-04
39,1,12,1,20,15.0,2016-12-04
40,1,9,3,12,20.0,2016-12-04
41,1,4,3,12,7.5,2016-12-04
42,1,5,3,12,2.0,2016-12-04
43,1,16,3,20,0.0,2016-12-04
44,1,13,3,20,12.5,2016-12-04
45,1,53,3,20,0.0,2016-12-04
46,1,52,1,15,12.5,2016-12-04
47,1,52,1,10,15.0,2016-12-04
48,1,52,1,10,15.0,2016-12-04
49,1,7,1,15,33.0,2016-12-04
50,1,7,2,10,55.0,2016-12-04
51,1,6,2,15,60.0,2016-12-06
52,1,6,1,15,50.0,2016-12-06
53,1,10,3,15,45.0,2016-12-06
54,1,9,3,12,12.5,2016-12-06
55,1,18,3,15,15.0,2016-12-06
56,1,4,3,12,10.0,2016-12-06
57,1,5,3,12,2.0,2016-12-06
58,1,13,3,15,15.0,2016-12-06
59,1,53,8,25,0.0,2016-12-06
60,1,19,3,10,15.0,2016-12-06
61,1,7,2,10,60.5,2016-12-06
62,1,7,1,10,55.0,2016-12-06
63,1,6,1,15,30.0,2016-12-08
64,1,6,2,15,60.0,2016-12-08
65,1,6,1,15,50.0,2016-12-08
66,1,10,1,15,30.0,2016-12-08
67,1,10,2,15,50.0,2016-12-08
68,1,10,1,15,40.0,2016-12-08
69,1,9,1,12,12.5,2016-12-08
70,1,9,3,12,25.0,2016-12-08
71,1,12,1,16,15.0,2016-12-08
72,1,12,3,15,30.0,2016-12-08
73,1,1,1,15,7.5,2016-12-08
74,1,1,3,15,15.0,2016-12-08
75,1,4,3,12,10.0,2016-12-08
76,1,5,3,12,3.0,2016-12-08
77,1,53,8,30,0.0,2016-12-08
78,1,17,3,12,3.0,2016-12-08
79,1,19,1,10,7.5,2016-12-08
80,1,19,3,10,15.0,2016-12-08
81,1,7,1,10,27.5,2016-12-08
82,1,7,3,10,55.0,2016-12-08
83,1,13,1,10,10.0,2016-12-08
84,1,13,3,10,20.0,2016-12-08
85,1,6,1,15,30.0,2016-12-10
86,1,6,1,15,50.0,2016-12-10
87,1,6,1,10,70.0,2016-12-10
88,1,6,1,15,50.0,2016-12-10
89,1,10,1,15,30.0,2016-12-10
90,1,10,1,15,40.0,2016-12-10
91,1,10,1,10,65.0,2016-12-10
92,1,10,1,15,40.0,2016-12-10
93,1,18,1,15,15.0,2016-12-10
94,1,18,1,15,20.0,2016-12-10
95,1,18,1,10,25.0,2016-12-10
96,1,18,1,15,20.0,2016-12-10
97,1,9,3,15,25.0,2016-12-10
98,1,1,1,15,7.5,2016-12-10
99,1,1,1,15,12.5,2016-12-10
100,1,1,1,10,20.0,2016-12-10
101,1,1,1,15,12.5,2016-12-10
102,1,17,3,12,3.0,2016-12-10
103,1,4,3,12,10.0,2016-12-10
104,1,5,3,12,3.0,2016-12-10
105,1,53,10,40,0.0,2016-12-10
106,1,19,3,10,15.0,2016-12-10
107,1,7,3,10,55.0,2016-12-10
108,1,13,3,10,25.0,2016-12-10
109,1,20,2,5,4.0,2016-12-11
110,1,6,1,15,30.0,2016-12-13
111,1,6,1,15,50.0,2016-12-13
112,1,6,1,12,70.0,2016-12-13
113,1,6,1,15,50.0,2016-12-13
114,1,10,1,15,30.0,2016-12-13
115,1,10,1,15,50.0,2016-12-13
116,1,10,1,12,70.0,2016-12-13
117,1,10,1,15,50.0,2016-12-13
118,1,21,3,8,45.0,2016-12-13
119,1,18,1,15,15.0,2016-12-13
120,1,18,1,15,20.0,2016-12-13
121,1,18,1,10,25.0,2016-12-13
122,1,18,1,15,20.0,2016-12-13
123,1,9,1,15,15.0,2016-12-13
124,1,9,1,15,27.5,2016-12-13
125,1,9,1,10,32.5,2016-12-13
126,1,9,1,15,27.5,2016-12-13
127,1,22,1,15,10.0,2016-12-13
128,1,22,3,8,25.0,2016-12-13
129,1,53,4,50,0.0,2016-12-13
130,1,14,3,10,25.0,2016-12-13
131,1,7,1,10,44.0,2016-12-13
132,1,7,1,10,66.0,2016-12-13
133,1,7,1,10,44.0,2016-12-13
134,1,19,1,10,12.5,2016-12-13
135,1,19,1,5,20.0,2016-12-13
136,1,19,1,10,12.5,2016-12-13
137,1,20,3,5,4.0,2016-12-13
138,1,6,1,12,40.0,2016-12-15
139,1,6,1,12,60.0,2016-12-15
140,1,6,1,10,70.0,2016-12-15
141,1,6,1,8,80.0,2016-12-15
142,1,10,1,12,30.0,2016-12-15
143,1,10,1,12,50.0,2016-12-15
144,1,10,1,10,60.0,2016-12-15
145,1,10,1,8,70.0,2016-12-15
146,1,9,1,12,15.0,2016-12-15
147,1,9,1,12,30.0,2016-12-15
148,1,9,1,10,32.5,2016-12-15
149,1,9,1,8,35.0,2016-12-15
150,1,18,1,12,12.5,2016-12-15
151,1,18,1,12,22.5,2016-12-15
152,1,18,1,10,25.0,2016-12-15
153,1,18,1,8,27.5,2016-12-15
154,1,1,1,12,10.0,2016-12-15
155,1,1,1,12,17.5,2016-12-15
156,1,1,1,10,20.0,2016-12-15
157,1,1,1,8,22.5,2016-12-15
158,1,22,1,12,10.0,2016-12-15
159,1,22,1,8,25.0,2016-12-15
160,1,4,1,10,12.5,2016-12-15
161,1,4,1,8,15.0,2016-12-15
162,1,53,2,50,0.0,2016-12-15
163,1,53,1,20,0.0,2016-12-15
164,1,21,3,10,9.0,2016-12-15
165,1,14,3,10,27.5,2016-12-15
166,1,7,1,12,60.5,2016-12-15
167,1,7,1,10,66.0,2016-12-15
168,1,7,1,8,71.5,2016-12-15
169,1,19,1,12,12.5,2016-12-15
170,1,19,1,10,15.0,2016-12-15
171,1,19,1,6,20.0,2016-12-15
172,1,20,1,5,4.0,2016-12-15
173,1,20,1,5,6.0,2016-12-15
174,1,20,1,5,8.0,2016-12-15
175,1,6,1,12,40.0,2016-12-17
176,1,6,1,12,60.0,2016-12-17
177,1,6,1,10,70.0,2016-12-17
178,1,6,1,8,80.0,2016-12-17
179,1,10,1,12,30.0,2016-12-17
180,1,10,1,12,50.0,2016-12-17
181,1,10,1,10,60.0,2016-12-17
182,1,10,1,8,70.0,2016-12-17
183,1,9,1,12,15.0,2016-12-17
184,1,9,1,12,30.0,2016-12-17
185,1,9,1,10,32.5,2016-12-17
186,1,9,1,8,35.0,2016-12-17
187,1,18,1,12,12.5,2016-12-17
188,1,18,1,12,22.5,2016-12-17
189,1,18,1,10,25.0,2016-12-17
190,1,18,1,8,30.0,2016-12-17
191,1,4,1,12,10.0,2016-12-17
192,1,4,1,10,12.5,2016-12-17
193,1,4,1,8,15.0,2016-12-17
194,1,5,1,12,2.0,2016-12-17
195,1,5,1,10,3.0,2016-12-17
196,1,5,1,8,5.0,2016-12-17
197,1,21,3,10,12.0,2016-12-17
198,1,53,8,40,0.0,2016-12-17
199,1,1,1,12,10.0,2016-12-17
200,1,1,1,12,17.5,2016-12-17
201,1,1,1,10,20.0,2016-12-17
202,1,1,1,8,22.5,2016-12-17
203,1,24,1,12,45.0,2016-12-17
204,1,24,1,10,55.0,2016-12-17
205,1,24,1,8,65.0,2016-12-17
206,1,19,1,12,12.5,2016-12-17
207,1,19,1,10,15.0,2016-12-17
208,1,19,1,8,20.0,2016-12-17
209,1,7,1,12,60.5,2016-12-17
210,1,7,1,10,66.0,2016-12-17
211,1,7,1,8,71.5,2016-12-17
212,1,14,3,10,30.0,2016-12-17
213,1,20,3,5,8.0,2016-12-17
214,1,54,3,3,0.0,2016-12-17
